Point in Time[s],State of Passive Resource[]
51.126888,9999
51.126888,9998
51.126888,9997
51.126888,9996
51.126888,9997
51.126888,9996
51.126888,9995
51.126888,9994
51.126888,9993
51.126888,9992
51.126888,9991
51.126888,9990
51.126888,9989
51.126888,9988
51.126888,9987
51.126888,9986
51.126888,9985
51.126888,9984
51.126888,9983
51.126888,9982
51.126888,9981
51.126888,9980
51.126888,9979
51.126888,9978
51.126888,9977
51.126888,9976
51.126888,9975
51.126888,9974
51.126888,9973
51.126888,9972
51.126888,9971
51.126888,9970
51.126888,9969
51.126888,9968
51.126888,9967
51.126888,9966
51.126888,9965
51.126888,9964
51.126888,9963
51.126888,9962
51.126888,9961
51.126888,9960
51.126888,9959
51.126888,9958
51.126888,9957
51.126888,9956
51.126888,9955
51.126888,9954
51.126888,9953
51.126888,9952
51.126888,9951
51.1569,9952
61.929692521974474,9951
62.353811227559575,9950
63.379308234298705,9949
63.85132012050986,9948
64.79006124352844,9947
67.93721220948217,9946
68.13384986980199,9945
68.54518875255904,9944
68.64113580098274,9943
70.00683173644472,9942
70.58855401041745,9941
70.67279683447671,9940
71.51537798063171,9939
73.71160363515119,9938
76.17418567331913,9937
76.3595014356566,9936
77.00115729799282,9935
78.31007238695813,9934
79.04017579596041,9933
80.72206128253603,9932
81.39112973368847,9933
81.42112973368847,9934
81.85187542567381,9933
82.0674563969715,9932
83.51748105336429,9931
84.051184951103,9930
84.13982181395279,9929
84.70967390639825,9928
84.98427713461008,9927
86.59758743004018,9926
86.64750650700341,9925
86.83907257191107,9924
87.06572068896668,9923
87.41343880272369,9922
88.86325137251823,9921
89.0312290983434,9920
89.25787256977944,9919
89.26644653409663,9918
89.46105385612209,9917
89.76904828549569,9916
89.89238608257735,9915
89.9256445024286,9914
89.93322336713914,9913
89.94388510751915,9912
90.23847963511619,9911
90.85062595792058,9910
90.88264492139452,9909
91.17661811586085,9908
91.42185753994201,9907
91.60040976368147,9906
91.76583386130069,9905
91.89197795138921,9904
91.95432348381053,9903
92.00680151566682,9902
92.08915339098209,9901
92.4718154873235,9900
92.51647772246261,9899
92.54823069042853,9898
92.90541856744817,9897
93.04626590130987,9896
93.12966126183598,9895
93.1322662130501,9894
93.24491202364206,9893
93.28596707193384,9892
93.60610024776776,9891
93.75019454221291,9890
93.78581049475903,9889
93.86821886765323,9888
93.90316324558079,9887
94.02277418329348,9886
94.24773183946901,9885
94.30035919095357,9884
94.31496245813992,9883
94.3184967823174,9882
94.70836421927292,9881
94.9680576940656,9880
95.05523200803573,9879
95.25741899688784,9878
95.33005854967169,9877
95.39865961585227,9876
95.49009193000666,9875
95.75393938190139,9874
95.89916270618416,9873
96.34544725601249,9872
96.47586624793394,9871
96.48596511185269,9870
96.55986995870629,9869
96.58806234170754,9868
96.63006362221468,9867
96.69292068520915,9866
96.74210848413165,9865
96.82659836874906,9864
96.93510925237688,9863
97.00040890389818,9862
97.11931195116958,9861
97.47624412804224,9860
97.49127388786152,9859
97.5229400915263,9858
97.69580474226365,9857
97.71475507281501,9856
97.7297488296612,9855
98.43444403655337,9854
98.44572923678844,9853
