Point in Time[s],State of Active Resource[]
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0,11
0.0,12
0.0,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
0.0,31
0.0,32
0.0,33
0.0,34
0.0,35
0.0,36
0.0,37
0.0,38
0.0,39
0.0,40
0.0,41
0.0,42
0.0,43
0.0,44
0.0,45
0.0,46
0.0,47
0.0,48
0.0,49
0.0,50
0.03,51
1.0,51
2.0,51
3.0,51
4.0,51
5.0,51
6.0,51
7.0,51
8.0,51
9.0,51
10.0,51
11.0,51
12.0,51
13.0,51
14.0,51
15.0,51
16.0,51
17.0,51
18.0,51
19.0,51
20.0,51
21.0,51
22.0,51
23.0,51
24.0,51
25.0,51
26.0,51
27.0,51
28.0,51
29.0,51
30.0,51
31.0,51
32.0,51
33.0,51
34.0,51
35.0,51
36.0,51
37.0,51
38.0,51
39.0,51
40.0,51
41.0,51
42.0,51
43.0,51
44.0,51
45.0,51
46.0,51
47.0,51
48.0,51
49.0,51
50.0,51
50.9994,50
50.9994,49
50.9994,48
50.9994,47
50.9994,46
50.9994,45
50.9994,44
50.9994,43
50.9994,42
50.9994,41
50.9994,40
50.9994,39
50.9994,38
50.9994,37
50.9994,36
50.9994,35
50.9994,34
50.9994,33
50.9994,32
50.9994,31
50.9994,30
50.9994,29
50.9994,28
50.9994,27
50.9994,26
50.9994,25
50.9994,24
50.9994,23
50.9994,22
50.9994,21
50.9994,20
50.9994,19
50.9994,18
50.9994,17
50.9994,16
50.9994,15
50.9994,14
50.9994,13
50.9994,12
50.9994,11
50.9994,10
50.9994,9
50.9994,8
50.9994,7
50.9994,6
50.9994,5
50.9994,4
50.9994,3
50.9994,2
50.9994,1
51.0,0
51.244595310247576,1
51.276900000000005,2
51.48828998583825,3
51.57473059128697,4
51.71525437812515,5
51.72832452926983,6
51.86579435418086,7
51.90398903057678,8
51.95174681583205,9
52.244595310247576,9
52.30939647156588,10
52.422826605501456,11
52.485226241162316,12
52.535254819064804,13
52.64244680221763,14
52.662019378280846,15
53.212290620495146,15
53.4028787284247,16
53.43199548794515,17
53.65116191022076,18
53.66366366302391,19
53.68614252979706,20
53.75300382275757,21
53.853139901390584,22
53.88081931817214,23
53.930728703756316,24
54.066459842024294,25
54.07429093782359,25
54.34313138349907,26
54.66623037788446,27
54.890370519667314,28
54.90747772000247,28
54.90783488261682,29
55.705533555471796,29
55.76215902164596,30
56.32394096463592,31
56.50097536071219,31
56.62761545799865,32
56.933082416480715,33
57.078984920247386,34
57.27350552846741,34
57.9988479367218,35
58.04057931388036,35
58.388862734844544,36
58.801683376136396,36
59.52304858775534,36
60.233070785980736,36
60.93742029005514,36
61.637600745971,36
62.329535664721256,36
62.65627420976423,37
62.97354427065989,38
63.020072542324144,38
63.6612187965841,38
64.30054525337404,38
64.92697956767717,38
65.33679477886311,39
65.41801800966782,40
65.5527193401579,40
65.76682060329624,41
