Point in Time[s],State of Passive Resource[]
51.126888,0
51.126888,1
51.126888,2
51.126888,3
51.126888,4
51.126888,5
51.126888,6
51.126888,7
51.126888,8
51.126888,9
51.126888,10
51.126888,11
51.126888,12
51.126888,13
51.126888,14
51.126888,15
51.126888,16
51.126888,17
51.126888,18
51.126888,19
51.126888,20
51.126888,21
51.126888,22
51.126888,23
51.126888,24
51.126888,25
51.126888,26
51.126888,27
51.126888,28
51.126888,29
51.126888,30
51.126888,31
51.126888,32
51.126888,33
51.126888,34
51.126888,35
51.126888,36
51.126888,37
51.126888,38
51.126888,39
51.126888,40
51.126888,41
51.126888,42
51.126888,43
51.126888,44
51.126888,45
51.126888,46
51.126888,47
51.126888,48
51.126888,49
51.1569,48
51.1869,47
51.2169,46
51.246900000000004,45
61.91699570377375,46
62.728298607152475,47
63.12052087232907,48
64.2732171331224,49
64.30418711910045,50
64.3875619395776,51
64.6633243075122,52
64.92525217046781,53
65.61003729212734,54
65.76959375203654,55
66.6725823030545,56
66.79893209452088,57
67.91392216009677,58
68.18387017493895,59
68.94332679406224,60
69.23417759812347,61
69.99188358763448,62
73.09669793189437,63
73.19408489027253,64
73.40666975133975,65
74.17960416776673,66
75.11370705557752,67
76.65062531285488,68
76.66913703835476,69
77.29536180291178,70
77.97511759270448,69
78.00511759270448,68
78.02795840663366,69
78.98738168510059,70
79.2199937995627,71
79.69289927865478,72
80.68887864260907,73
81.72493569474614,74
82.18087764322904,75
82.293694376843,76
82.3069873023885,77
82.38973700974257,78
83.45952870837147,79
84.31054107897081,80
84.7601036475661,81
84.82963563004373,82
84.92896877874325,83
85.70059029106133,84
85.75902149460475,85
85.77669936569464,86
85.9731291300165,87
86.18206944050831,88
86.27884912454458,89
87.53319036216945,90
87.90750980415685,91
87.95157641168487,92
88.08903601698843,93
88.2182765099032,94
88.35213737608555,95
88.46564262487125,96
88.50618581814506,97
89.28654539482726,98
89.30084396888157,99
89.4990669140864,100
89.88912327174694,101
89.93597230446986,102
89.93836505395377,103
90.01279919546548,104
90.16824020000622,105
90.21010252727933,106
90.24956913627108,107
90.27345350809449,108
90.29081705365444,109
90.31921141168367,110
90.39610189858826,111
90.50100636191809,112
90.52742762339139,113
90.57082708911675,114
90.66222580760291,115
90.67828090691224,116
90.76188860457913,117
90.87748441677408,118
91.09136894453732,119
91.2324942189932,120
91.24247385496433,121
91.51190984274581,122
91.68436565101389,123
91.75970480708693,124
91.95917478270805,125
91.97270490636325,126
92.0963181022912,127
92.22041405417454,128
92.22479104576266,129
92.2734695100897,130
92.57107225071377,131
92.65226035102617,132
92.68250505017741,133
92.90492274982435,134
93.20588656290488,135
93.25837073489575,136
93.27089010292218,137
93.74935791890734,138
93.81795685099289,139
93.8895984179559,140
94.00235253904587,141
94.02292364028443,142
94.21897452164717,143
94.24700063718836,144
94.27437112500911,145
94.28894965361509,146
94.34127004265935,147
94.35067116865424,148
94.367631726978,149
94.43038203942355,150
94.43359879658301,151
94.55061061630043,152
94.7674229192726,153
94.89628463410169,154
95.18436569126283,155
95.266873463837,156
95.32541766460719,157
95.3623279573143,158
95.5112386182254,159
95.52055739221443,160
95.53541225087214,161
95.72614447922221,162
95.83560551343673,161
96.2006422155038,162
96.30294474582439,163
96.42826162980882,164
97.13973084108389,165
97.2078256083316,166
97.29997025731946,167
97.33750756141394,168
97.55727816043074,169
97.659523558202,170
97.69289306338757,171
97.94520151696196,172
97.94559442363763,173
98.03138873421621,174
98.0713830257858,175
98.10350656585767,176
98.2256584225846,177
98.45162866231256,178
98.88151123165665,179
99.08883213601402,180
99.23856320082848,181
99.25653713353235,182
99.42397011172797,183
99.43981644393006,184
99.46364895887713,185
99.5227188496859,186
99.55361428980933,187
99.64941988456988,188
99.70034860493794,189
99.94924366370329,190
100.14830745589293,191
100.15093057669753,192
100.47263329578692,193
100.47816661007752,194
100.5047959009261,195
100.70268130078061,196
100.72193470248568,195
100.87262305339064,196
101.37473812500772,197
101.46025229518591,198
101.50858861009156,199
101.70050479427242,200
101.76926230136459,201
101.80190769658932,202
101.82163375446649,203
101.9560170024933,204
102.01697591552518,205
102.01938656274743,206
102.16981313991558,207
102.76503473694545,208
102.88101912501159,209
102.93678661605253,210
103.0324042363401,211
103.03476600288411,212
103.14475990214886,213
103.24380170308537,214
103.24709531024757,213
103.40974942973702,214
103.59666186819808,215
103.882099682728,216
103.92540755042054,217
104.13113232625761,218
104.27959531024757,217
104.47052207721454,218
104.49867805073265,219
104.49988150829168,220
104.81222651054962,221
105.12065797029648,222
105.25414623575328,223
105.26453273859381,224
105.33973731209622,225
105.3781865554883,226
105.64082502894344,227
106.03274312137668,228
106.156841293202,229
106.25207918244628,230
106.30048677568189,231
106.32830165729703,232
106.3451984953462,233
106.5235968096957,232
106.5535968096957,231
106.5835968096957,230
106.61754961446523,231
106.63923154736855,232
106.80400583593038,233
106.84474233348553,234
107.05479281467035,235
107.169197483505,236
107.31196998431858,237
107.56389575516104,238
107.60307767141113,239
107.6308420241777,240
107.93039848597073,241
107.94545746872122,242
108.10888409687732,243
108.12893262890579,244
108.16898529892437,245
108.17880904001066,246
108.31209531024757,245
108.34209531024757,244
108.37209531024757,243
108.39126138020092,244
108.40459531024757,243
108.41084935385891,244
108.43709531024757,243
108.46709531024757,242
108.61443060041036,243
108.70740988740725,244
108.71356617993574,245
108.82829067623719,246
109.08880630595732,247
109.49005490338561,248
109.49959531024757,247
109.64332211163097,248
109.88803431161179,249
109.89270942852852,250
109.96058692570637,251
110.2918886403814,252
110.34291096436166,253
110.4549357989778,254
110.53209531024757,253
110.60736704555644,254
110.72511894809857,255
110.8712838046221,256
110.91219263765578,257
110.94031685911177,258
110.98466465884529,259
111.10384380798061,260
111.1504541182893,261
111.49618718768306,262
111.56459531024757,261
111.59459531024757,260
111.62459531024757,259
111.91435301637297,260
111.92843576240764,261
112.00454159669475,262
112.03389023143777,263
112.32844499512449,264
112.46592992315999,265
112.47689426459665,266
112.55245657301792,267
112.65709531024757,266
112.68709531024757,265
112.76560224005898,266
112.78125764044619,267
112.82345693378055,268
113.16753213210096,269
113.22350209795526,270
113.23405807976826,271
113.46972775969539,272
113.52257866163936,273
113.6350841617357,274
113.71959531024757,273
113.74959531024757,272
113.77959531024757,271
113.79527501734032,272
113.81209531024757,271
113.84209531024757,270
113.96299746671997,271
113.9832684914716,272
114.05368796277591,273
114.38009215555255,274
114.47903772493632,275
114.66736547980487,276
114.80823605932233,277
114.92631494577705,278
114.96142598447918,279
115.0109523476974,280
115.3545531928519,281
115.49751450060695,282
115.60465335817892,283
115.65514491224491,284
115.68741825266986,285
115.83131153007949,284
115.86131153007949,283
115.87709531024757,284
115.89381153007949,283
115.90714262952054,284
116.11374000452162,285
116.22417353354577,286
116.33976145064344,287
116.39989679227129,288
116.63094264233294,289
116.84734597590368,290
116.92881153007949,289
117.17513116196011,290
117.32341792533322,291
117.4659066256416,292
117.61598962531102,293
117.96131153007948,292
117.99131153007949,291
118.06367761213968,292
118.09669861143291,293
118.2355870406581,294
118.37709146915141,295
118.51078062454422,296
118.57384702286704,297
118.62095893535715,298
118.74269065931242,299
118.75147071208568,300
118.87209930831803,301
118.9092537360938,302
118.96405651264669,303
119.0172734856047,304
119.02381153007948,303
119.05381153007949,302
119.233151252785,303
119.25027212878409,304
119.29976672807547,305
119.439142545197,306
119.74275498724691,307
119.87538327574725,308
119.92387336218526,309
120.00443287028673,310
120.06348715917616,311
120.08631153007948,310
120.2273585128367,311
120.4547919309818,312
120.75218915472308,313
120.78416597591135,314
