Point in Time[s],State of Passive Resource[]
51.126888,9999
51.126888,9998
51.126888,9997
51.126888,9996
51.126888,9997
51.126888,9996
51.126888,9995
51.126888,9994
51.126888,9993
51.126888,9992
51.126888,9991
51.126888,9990
51.126888,9989
51.126888,9988
51.126888,9987
51.126888,9986
51.126888,9985
51.126888,9984
51.126888,9983
51.126888,9982
51.126888,9981
51.126888,9980
51.126888,9979
51.126888,9978
51.126888,9977
51.126888,9976
51.126888,9975
51.126888,9974
51.126888,9973
51.126888,9972
51.126888,9971
51.126888,9970
51.126888,9969
51.126888,9968
51.126888,9967
51.126888,9966
51.126888,9965
51.126888,9964
51.126888,9963
51.126888,9962
51.126888,9961
51.126888,9960
51.126888,9959
51.126888,9958
51.126888,9957
51.126888,9956
51.126888,9955
51.126888,9954
51.126888,9953
51.126888,9952
51.126888,9951
51.1569,9952
51.1869,9953
51.2169,9954
51.246900000000004,9955
61.91699570377375,9954
62.728298607152475,9953
63.12052087232907,9952
64.2732171331224,9951
64.30418711910045,9950
64.3875619395776,9949
64.6633243075122,9948
64.92525217046781,9947
65.61003729212734,9946
65.76959375203654,9945
66.6725823030545,9944
66.79893209452088,9943
67.91392216009677,9942
68.18387017493895,9941
68.94332679406224,9940
69.23417759812347,9939
69.99188358763448,9938
73.09669793189437,9937
73.19408489027253,9936
73.40666975133975,9935
74.17960416776673,9934
75.11370705557752,9933
76.65062531285488,9932
76.66913703835476,9931
77.29536180291178,9930
77.97511759270448,9931
78.00511759270448,9932
78.02795840663366,9931
78.98738168510059,9930
79.2199937995627,9929
79.69289927865478,9928
80.68887864260907,9927
81.72493569474614,9926
82.18087764322904,9925
82.293694376843,9924
82.3069873023885,9923
82.38973700974257,9922
83.45952870837147,9921
84.31054107897081,9920
84.7601036475661,9919
84.82963563004373,9918
84.92896877874325,9917
85.70059029106133,9916
85.75902149460475,9915
85.77669936569464,9914
85.9731291300165,9913
86.18206944050831,9912
86.27884912454458,9911
87.53319036216945,9910
87.90750980415685,9909
87.95157641168487,9908
88.08903601698843,9907
88.2182765099032,9906
88.35213737608555,9905
88.46564262487125,9904
88.50618581814506,9903
89.28654539482726,9902
89.30084396888157,9901
89.4990669140864,9900
89.88912327174694,9899
89.93597230446986,9898
89.93836505395377,9897
90.01279919546548,9896
90.16824020000622,9895
90.21010252727933,9894
90.24956913627108,9893
90.27345350809449,9892
90.29081705365444,9891
90.31921141168367,9890
90.39610189858826,9889
90.50100636191809,9888
90.52742762339139,9887
90.57082708911675,9886
90.66222580760291,9885
90.67828090691224,9884
90.76188860457913,9883
90.87748441677408,9882
91.09136894453732,9881
91.2324942189932,9880
91.24247385496433,9879
91.51190984274581,9878
91.68436565101389,9877
91.75970480708693,9876
91.95917478270805,9875
91.97270490636325,9874
92.0963181022912,9873
92.22041405417454,9872
92.22479104576266,9871
92.2734695100897,9870
92.57107225071377,9869
92.65226035102617,9868
92.68250505017741,9867
92.90492274982435,9866
93.20588656290488,9865
93.25837073489575,9864
93.27089010292218,9863
93.74935791890734,9862
93.81795685099289,9861
93.8895984179559,9860
94.00235253904587,9859
